trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
10,2025-09-10T01:29:06,200,1.696623,0.570745,0.389,0.16271361835629541,0.21829474820599412,0.389,0.1458895889588959,0.21219725070914247,sweeps/runs/run_trial10_k200_k11.6966_b0.5707.txt
11,2025-09-10T01:29:29,200,1.655406,0.557246,0.3907,0.16338684074490703,0.21921220690296667,0.3907,0.14652715271527153,0.21312459087933666,sweeps/runs/run_trial11_k200_k11.6554_b0.5572.txt
12,2025-09-10T01:29:52,200,1.42758,0.508636,0.3914,0.16397013039109828,0.21979444397162684,0.3914,0.1467896789678968,0.2135064368317696,sweeps/runs/run_trial12_k200_k11.4276_b0.5086.txt
13,2025-09-10T01:30:15,200,1.602073,0.590914,0.3895,0.1631364702484191,0.21874817090846727,0.3895,0.14607710771077106,0.21246999781802314,sweeps/runs/run_trial13_k200_k11.6021_b0.5909.txt
14,2025-09-10T01:30:39,200,1.631442,0.604614,0.38880000000000003,0.16265649163416004,0.21819796875256306,0.3888,0.14581458145814583,0.21208815186559024,sweeps/runs/run_trial14_k200_k11.6314_b0.6046.txt
15,2025-09-10T01:31:01,200,1.699361,0.623297,0.387,0.16184449989535263,0.21712986474124396,0.387,0.14513951395139513,0.2111062622736199,sweeps/runs/run_trial15_k200_k11.6994_b0.6233.txt
16,2025-09-10T01:31:45,200,1.714635,0.526531,0.39089999999999997,0.1637600715399372,0.21948915723242235,0.3909,0.1466021602160216,0.21323368972288895,sweeps/runs/run_trial16_k200_k11.7146_b0.5265.txt
17,2025-09-10T01:32:10,200,1.488114,0.622428,0.3876,0.1622587188408051,0.21762481222487767,0.3876,0.14536453645364536,0.21143355880427667,sweeps/runs/run_trial17_k200_k11.4881_b0.6224.txt
18,2025-09-10T01:32:33,200,1.4,0.647069,0.38659999999999994,0.16153071013502757,0.21677988701192472,0.3866,0.144989498949895,0.21088806458651535,sweeps/runs/run_trial18_k200_k11.4_b0.6471.txt
19,2025-09-10T01:32:56,200,1.492211,0.476983,0.3911,0.16382447543961365,0.2195703960150003,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial19_k200_k11.4922_b0.477.txt
20,2025-09-10T01:33:17,200,1.652927,0.65,0.3859,0.16156510508002483,0.2167318654901302,0.3859,0.14472697269726972,0.21050621863408245,sweeps/runs/run_trial20_k200_k11.6529_b0.65.txt
21,2025-09-10T01:33:39,200,1.694998,0.6052,0.38780000000000003,0.1622933511260758,0.21768619654672888,0.3878,0.14543954395439543,0.2115426576478289,sweeps/runs/run_trial21_k200_k11.695_b0.6052.txt
22,2025-09-10T01:34:00,200,1.620726,0.514213,0.3914,0.1638381354804355,0.21968129865999472,0.3914,0.1467896789678968,0.2135064368317696,sweeps/runs/run_trial22_k200_k11.6207_b0.5142.txt
23,2025-09-10T01:34:40,200,1.687823,0.539664,0.3911,0.1639182428888597,0.2196710808404463,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial23_k200_k11.6878_b0.5397.txt
24,2025-09-10T01:35:02,200,1.683789,0.45,0.391,0.1633246782091655,0.21919552937598588,0.391,0.14663966396639663,0.21328823914466508,sweeps/runs/run_trial24_k200_k11.6838_b0.45.txt
25,2025-09-10T01:35:24,200,1.520374,0.581152,0.3897,0.16305728082586574,0.21872405060550298,0.3897,0.14615211521152116,0.21257909666157537,sweeps/runs/run_trial25_k200_k11.5204_b0.5812.txt
26,2025-09-10T01:35:45,200,1.608723,0.569905,0.39049999999999996,0.1634021920654659,0.21919992466226834,0.3905,0.14645214521452146,0.2130154920357844,sweeps/runs/run_trial26_k200_k11.6087_b0.5699.txt
27,2025-09-10T01:36:06,200,1.576156,0.45,0.3911,0.16332077691370295,0.21916071867135042,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial27_k200_k11.5762_b0.45.txt
28,2025-09-10T01:36:28,200,1.529266,0.546111,0.3914,0.16386608076383374,0.2197458918955167,0.3914,0.1467896789678968,0.2135064368317696,sweeps/runs/run_trial28_k200_k11.5293_b0.5461.txt
29,2025-09-10T01:36:49,200,1.614608,0.531114,0.3917,0.16402785597446193,0.21991803984347671,0.3917,0.1469021902190219,0.21367008509709795,sweeps/runs/run_trial29_k200_k11.6146_b0.5311.txt
30,2025-09-10T01:37:36,200,1.75,0.623888,0.3872,0.1618433699268325,0.21716809026540607,0.3872,0.14521452145214522,0.21121536111717218,sweeps/runs/run_trial30_k200_k11.75_b0.6239.txt
31,2025-09-10T01:37:59,200,1.653096,0.45,0.3911,0.1632645900234359,0.21913571357959313,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial31_k200_k11.6531_b0.45.txt
32,2025-09-10T01:38:24,200,1.638099,0.47291,0.39130000000000004,0.16366520290355743,0.21951831433667843,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial32_k200_k11.6381_b0.4729.txt
33,2025-09-10T01:38:48,200,1.727699,0.45,0.3908,0.16321215112693988,0.21905824488047387,0.3908,0.14656465646564656,0.2131791403011128,sweeps/runs/run_trial33_k200_k11.7277_b0.45.txt
34,2025-09-10T01:39:13,200,1.530105,0.486,0.39130000000000004,0.16376594219970958,0.21959196217561605,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial34_k200_k11.5301_b0.486.txt
35,2025-09-10T01:39:36,200,1.75,0.500105,0.39130000000000004,0.16362981389801884,0.21943966232550774,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial35_k200_k11.75_b0.5001.txt
36,2025-09-10T01:39:57,200,1.4,0.505352,0.39089999999999997,0.163744221602899,0.21949615566591946,0.3909,0.1466021602160216,0.21323368972288895,sweeps/runs/run_trial36_k200_k11.4_b0.5054.txt
37,2025-09-10T01:40:38,200,1.75,0.581429,0.38799999999999996,0.16228971723761876,0.21772022245309716,0.388,0.14551455145514552,0.21165175649138118,sweeps/runs/run_trial37_k200_k11.75_b0.5814.txt
38,2025-09-10T01:41:01,200,1.476278,0.529955,0.3909,0.16381855767228223,0.21959339234507255,0.3909,0.1466021602160216,0.21323368972288895,sweeps/runs/run_trial38_k200_k11.4763_b0.53.txt
39,2025-09-10T01:41:24,200,1.75,0.65,0.386,0.1615079248579008,0.21670900657316206,0.386,0.14476447644764476,0.21056076805585858,sweeps/runs/run_trial39_k200_k11.75_b0.65.txt
40,2025-09-10T01:41:46,200,1.43795,0.45,0.3909,0.16344100766268174,0.219207373828886,0.3909,0.1466021602160216,0.21323368972288895,sweeps/runs/run_trial40_k200_k11.4379_b0.45.txt
41,2025-09-10T01:42:08,200,1.75,0.584352,0.3883,0.1624665390001695,0.21792329044167386,0.3883,0.14562706270627063,0.21181540475670957,sweeps/runs/run_trial41_k200_k11.75_b0.5844.txt
42,2025-09-10T01:42:30,200,1.473914,0.509047,0.3911,0.16376851563590109,0.2195707985102951,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial42_k200_k11.4739_b0.509.txt
43,2025-09-10T01:42:52,200,1.685608,0.645597,0.3864,0.16173968744080588,0.2169716757426608,0.3864,0.14491449144914492,0.2107789657429631,sweeps/runs/run_trial43_k200_k11.6856_b0.6456.txt
44,2025-09-10T01:43:35,200,1.57311,0.490517,0.39159999999999995,0.16380895922237884,0.21969196506438016,0.3916,0.14686468646864687,0.21361553567532185,sweeps/runs/run_trial44_k200_k11.5731_b0.4905.txt
45,2025-09-10T01:43:58,200,1.419967,0.542703,0.3912,0.16396955213916725,0.21974096291242307,0.3912,0.1467146714671467,0.2133973379882173,sweeps/runs/run_trial45_k200_k11.42_b0.5427.txt
46,2025-09-10T01:44:20,200,1.402203,0.45,0.39130000000000004,0.16359306174429297,0.21943718737420612,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial46_k200_k11.4022_b0.45.txt
47,2025-09-10T01:44:42,200,1.532888,0.45,0.39130000000000004,0.1635849013828044,0.2194180358927397,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial47_k200_k11.5329_b0.45.txt
48,2025-09-10T01:45:03,200,1.462923,0.583007,0.3911,0.16361162366902995,0.2194547693110232,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial48_k200_k11.4629_b0.583.txt
49,2025-09-10T01:45:25,200,1.75,0.45,0.3907,0.16312418910696266,0.21894370165632826,0.3907,0.14652715271527153,0.21312459087933666,sweeps/runs/run_trial49_k200_k11.75_b0.45.txt
50,2025-09-10T01:45:46,200,1.647354,0.506938,0.39149999999999996,0.16382268226713453,0.21964772097429805,0.3915,0.14682718271827183,0.21356098625354572,sweeps/runs/run_trial50_k200_k11.6474_b0.5069.txt
51,2025-09-10T01:46:27,200,1.541829,0.65,0.3875,0.16196519620469524,0.21740306240876645,0.3875,0.14532703270327033,0.21137900938250054,sweeps/runs/run_trial51_k200_k11.5418_b0.65.txt
52,2025-09-10T01:46:48,200,1.683478,0.516607,0.3914,0.16383112801703958,0.21963414348376906,0.3914,0.1467896789678968,0.2135064368317696,sweeps/runs/run_trial52_k200_k11.6835_b0.5166.txt
53,2025-09-10T01:47:10,200,1.4248,0.497601,0.3914,0.1638948459009172,0.21971888883348936,0.3914,0.1467896789678968,0.2135064368317696,sweeps/runs/run_trial53_k200_k11.4248_b0.4976.txt
54,2025-09-10T01:47:32,200,1.564416,0.601641,0.3899,0.16318498993852742,0.2188926854639471,0.3899,0.14622712271227123,0.21268819550512766,sweeps/runs/run_trial54_k200_k11.5644_b0.6016.txt
55,2025-09-10T01:47:53,200,1.518994,0.462042,0.392,0.16383165952621037,0.21976026415714187,0.392,0.147014701470147,0.21383373336242636,sweeps/runs/run_trial55_k200_k11.519_b0.462.txt
56,2025-09-10T01:48:15,200,1.429037,0.510688,0.3911,0.16387548973157073,0.21965067601580368,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial56_k200_k11.429_b0.5107.txt
57,2025-09-10T01:48:36,200,1.506186,0.536208,0.39130000000000004,0.1639376504141636,0.21977860415812864,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial57_k200_k11.5062_b0.5362.txt
58,2025-09-10T01:49:18,200,1.660608,0.45,0.3912,0.16331383783834238,0.21920339024293473,0.3912,0.1467146714671467,0.2133973379882173,sweeps/runs/run_trial58_k200_k11.6606_b0.45.txt
59,2025-09-10T01:49:40,200,1.734998,0.560049,0.3899,0.16322825848904576,0.21883548876665415,0.3899,0.14622712271227123,0.21268819550512766,sweeps/runs/run_trial59_k200_k11.735_b0.56.txt
60,2025-09-10T01:50:01,200,1.75,0.49814,0.3914,0.16366820969951623,0.21949616207755723,0.3914,0.1467896789678968,0.2135064368317696,sweeps/runs/run_trial60_k200_k11.75_b0.4981.txt
61,2025-09-10T01:50:23,200,1.447525,0.54022,0.3909,0.16378685001856222,0.21955293917318308,0.3909,0.1466021602160216,0.21323368972288895,sweeps/runs/run_trial61_k200_k11.4475_b0.5402.txt
62,2025-09-10T01:50:45,200,1.75,0.633134,0.38659999999999994,0.16180224527983053,0.2170463232259225,0.3866,0.144989498949895,0.21088806458651535,sweeps/runs/run_trial62_k200_k11.75_b0.6331.txt
63,2025-09-10T01:51:06,200,1.554229,0.481906,0.39130000000000004,0.16376540688482244,0.21960096903036672,0.3913,0.14675217521752176,0.21345188740999343,sweeps/runs/run_trial63_k200_k11.5542_b0.4819.txt
64,2025-09-10T01:51:27,200,1.4,0.65,0.3862,0.16136008053714668,0.21656601509605547,0.3862,0.14483948394839483,0.21066986689941083,sweeps/runs/run_trial64_k200_k11.4_b0.65.txt
65,2025-09-10T01:52:07,200,1.568475,0.62293,0.38780000000000003,0.16226284537339947,0.21772104130393324,0.3878,0.14543954395439543,0.2115426576478289,sweeps/runs/run_trial65_k200_k11.5685_b0.6229.txt
66,2025-09-10T01:52:29,200,1.660949,0.474724,0.39149999999999996,0.1636994646752698,0.21958692883283767,0.3915,0.14682718271827183,0.21356098625354572,sweeps/runs/run_trial66_k200_k11.6609_b0.4747.txt
67,2025-09-10T01:52:50,200,1.619079,0.611486,0.3885,0.16249238430905497,0.21801124622892235,0.3885,0.1457020702070207,0.21192450360026183,sweeps/runs/run_trial67_k200_k11.6191_b0.6115.txt
68,2025-09-10T01:53:12,200,1.581649,0.617827,0.3886,0.16269387189686457,0.2182364595271277,0.3886,0.14573957395739573,0.21197905302203796,sweeps/runs/run_trial68_k200_k11.5816_b0.6178.txt
69,2025-09-10T01:53:33,200,1.414451,0.45,0.3911,0.16351820954064672,0.21932697116821356,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial69_k200_k11.4145_b0.45.txt
