trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
99,2025-09-10T09:44:56,20,0.800151,0.104363,0.634,0.028870598219124008,0.05446102976231077,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial99_k20_k10.8002_b0.1044.txt
100,2025-09-10T09:45:22,20,0.8,0.027807,0.624,0.0286666165002227,0.05404651840842721,0.624,0.023402340234023402,0.045112781954887216,sweeps/runsk20/run_trial100_k20_k10.8_b0.0278.txt
101,2025-09-10T09:45:49,20,0.97319,0.185193,0.625,0.0282810549108674,0.05336628839528519,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial101_k20_k10.9732_b0.1852.txt
102,2025-09-10T09:46:14,20,0.8,0.128933,0.635,0.028892549760454463,0.054509393052582275,0.635,0.023814881488148816,0.04590803932909197,sweeps/runsk20/run_trial102_k20_k10.8_b0.1289.txt
103,2025-09-10T09:46:39,20,1.059872,0.10019,0.625,0.028313630758943945,0.053423142155401254,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial103_k20_k11.0599_b0.1002.txt
104,2025-09-10T09:47:02,20,1.156066,0.129503,0.629,0.02835168585809367,0.053507680855748835,0.629,0.02358985898589859,0.045474262579525734,sweeps/runsk20/run_trial104_k20_k11.1561_b0.1295.txt
105,2025-09-10T09:47:27,20,0.857189,0.026878,0.623,0.028555365443140572,0.05384377147265999,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial105_k20_k10.8572_b0.0269.txt
106,2025-09-10T09:47:55,20,0.8,0.201638,0.629,0.028605725196697494,0.05396787920204626,0.629,0.02358985898589859,0.045474262579525734,sweeps/runsk20/run_trial106_k20_k10.8_b0.2016.txt
107,2025-09-10T09:48:22,20,0.874842,0.25498,0.628,0.028532401352298863,0.053825577273277456,0.628,0.023552355235523553,0.045401966454598035,sweeps/runsk20/run_trial107_k20_k10.8748_b0.255.txt
108,2025-09-10T09:48:46,20,1.292322,0.348529,0.621,0.0278300159585842,0.05256717350566063,0.621,0.02328982898289829,0.0448958935801041,sweeps/runsk20/run_trial108_k20_k11.2923_b0.3485.txt
109,2025-09-10T09:49:10,20,0.959252,0.055304,0.625,0.028479027999947806,0.05371719960050643,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial109_k20_k10.9593_b0.0553.txt
110,2025-09-10T09:49:34,20,0.988955,0.1191,0.628,0.028442857886916372,0.05366678370158306,0.628,0.023552355235523553,0.045401966454598035,sweeps/runsk20/run_trial110_k20_k10.989_b0.1191.txt
111,2025-09-10T09:50:00,20,0.927833,0.039917,0.623,0.02842905419557984,0.053615142376888206,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial111_k20_k10.9278_b0.0399.txt
112,2025-09-10T09:50:24,20,0.8,0.095963,0.634,0.028903418191355876,0.05452211751537232,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial112_k20_k10.8_b0.096.txt
113,2025-09-10T09:50:49,20,1.010762,0.104534,0.627,0.028432423601247505,0.053645775533588506,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial113_k20_k11.0108_b0.1045.txt
114,2025-09-10T09:51:12,20,1.056703,0.0,0.616,0.02800797005001508,0.052822776437104146,0.616,0.0231023102310231,0.04453441295546559,sweeps/runsk20/run_trial114_k20_k11.0567_b0.0.txt
115,2025-09-10T09:51:34,20,1.112227,0.194879,0.62,0.027928469079304293,0.05271988962624144,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial115_k20_k11.1122_b0.1949.txt
116,2025-09-10T09:51:56,20,0.86007,0.0,0.623,0.028551497959208576,0.05382766555531196,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial116_k20_k10.8601_b0.0.txt
117,2025-09-10T09:52:18,20,0.92492,0.0,0.62,0.02836364450289021,0.053482966670438496,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial117_k20_k10.9249_b0.0.txt
